dataset_name,dataset_label,subject,group_id,group_frame_idx,window_idx,prev_window_idx,side_label,side_label_name,free_coeff_l0,free_decoded_index_l0,free_argmax_usage_index_l0,free_argmax_usage_global_b_l0,free_coeff_l1,free_decoded_index_l1,free_argmax_usage_index_l1,free_argmax_usage_global_b_l1,side_coeff,side_argmax_usage_index,basis_usage_b0,basis_activation_b0,basis_usage_b1,basis_activation_b1,basis_usage_b2,basis_activation_b2,basis_usage_b3,basis_activation_b3,basis_usage_b4,basis_activation_b4,basis_usage_b5,basis_activation_b5,basis_usage_b6,basis_activation_b6,basis_usage_b7,basis_activation_b7,basis_usage_b8,basis_activation_b8,basis_usage_b9,basis_activation_b9,basis_usage_b10,basis_activation_b10,start_frame,end_frame,side,score,label_5class,matrix_size,deleted_x,deleted_y
IMR,0,00239,IMR:00239:x:group016,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-20.634130477905273,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.01025567390024662,-0.21161691844463348,0.42455336451530457,-8.760289192199707,0.5651910305023193,-11.662225723266602,100,120,-1,0,2,341,0,0
IMR,0,00240,IMR:00240:x:group017,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-19.368200302124023,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.012632438912987709,-0.24466760456562042,0.36653873324394226,-7.09919548034668,0.6208288073539734,-12.024336814880371,100,120,-1,0,2,341,0,0
IMR,0,00241,IMR:00241:x:group018,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-0.9080607891082764,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.3007018566131592,-0.2730555534362793,0.31430843472480774,-0.28541117906570435,0.3849896788597107,-0.34959402680397034,100,120,-1,0,2,341,0,0
IMR,0,00242,IMR:00242:x:group019,0,2,1,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,6.677621841430664,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.022836381569504738,0.1524927169084549,0.04718370735645294,0.31507495045661926,0.9299799799919128,6.210054397583008,40,60,-1,0,2,341,0,1
IMR,0,00242,IMR:00242:x:group019,1,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-9.33873462677002,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.07503654062747955,-0.7007463574409485,0.39778241515159607,-3.7147843837738037,0.527181088924408,-4.92320442199707,100,120,-1,0,2,341,0,0
IMR,0,00243,IMR:00243:x:group020,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-14.888030052185059,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.0303470641374588,-0.45180800557136536,0.3865791857242584,-5.755402565002441,0.5830737352371216,-8.680819511413574,100,120,-1,0,2,341,0,0
IMR,0,00244,IMR:00244:x:group021,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-14.664355278015137,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.030120760202407837,-0.4417015314102173,0.41013872623443604,-6.014420032501221,0.5597404837608337,-8.208232879638672,100,120,-1,0,2,341,0,0
IMR,0,00245,IMR:00245:x:group022,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-21.383176803588867,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.00906266551464796,-0.1937885731458664,0.36640238761901855,-7.8348469734191895,0.6245349049568176,-13.35453987121582,100,120,-1,0,2,341,0,0
IMR,0,00246,IMR:00246:x:group023,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-17.247220993041992,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.018299244344234467,-0.3156111240386963,0.37838247418403625,-6.526046276092529,0.6033182144165039,-10.405562400817871,100,120,-1,0,2,341,0,0
IMR,0,00247,IMR:00247:x:group024,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-16.15824317932129,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.022819848731160164,-0.3687286674976349,0.3989565968513489,-6.446437835693359,0.5782235860824585,-9.343077659606934,100,120,-1,0,2,341,0,0
IMR,0,00248,IMR:00248:x:group025,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-15.502150535583496,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.025001205503940582,-0.38757243752479553,0.439113587141037,-6.807204723358154,0.535885214805603,-8.307373046875,100,120,-1,0,2,341,0,0
IMR,0,00249,IMR:00249:x:group026,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-23.719404220581055,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.005520503968000412,-0.13094305992126465,0.3540806770324707,-8.398582458496094,0.6403988599777222,-15.189879417419434,100,120,-1,0,2,341,0,0
IMR,0,00250,IMR:00250:x:group027,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-22.627445220947266,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.007047837600111961,-0.15947456657886505,0.3744364380836487,-8.472539901733398,0.61851567029953,-13.995429039001465,100,120,-1,0,2,341,0,0
IMR,0,00251,IMR:00251:x:group028,0,5,4,1,Normal,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,-9.353472709655762,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.08120251446962357,-0.7595254778862,0.415812224149704,-3.8892881870269775,0.5029852390289307,-4.704658508300781,100,120,-1,0,2,341,0,0
IMR,0,00252,IMR:00252:x:group029,0,5,4,1,Normal,-4.562546730041504,0,0,0,0.06250937283039093,4,4,6,-13.29913330078125,2,0.9961376786231995,-4.544924736022949,0.0038622920401394367,-0.01762188784778118,0.0,0.0,0.0,0.0,0.1703510880470276,0.010648539289832115,0.0,0.0,0.8296488523483276,0.05186082795262337,0.0,0.0,0.0391986146569252,-0.5213075876235962,0.4158185124397278,-5.530025959014893,0.5449828505516052,-7.247799396514893,100,120,0,0,2,341,0,0
IMR,0,00253,IMR:00253:x:group030,0,5,4,0,Left,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,15.7693452835083,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.00016260449774563313,0.0025641664396971464,0.0009124057251028717,0.014388040639460087,0.9989249110221863,15.752391815185547,100,120,0,1,1,341,0,0
IMR,0,00254,IMR:00254:x:group031,0,5,4,0,Left,-0.014000579714775085,1,0,0,0.011544760316610336,3,3,5,6.647091388702393,2,0.9510898590087891,-0.013315808959305286,0.04891015589237213,-0.0006847705226391554,0.0,0.0,0.0,0.0,0.17973925173282623,0.002075046533718705,0.8202607035636902,0.0094697130843997,0.0,0.0,0.0,0.0,0.024047184735536575,0.1598438322544098,0.04626142978668213,0.30750393867492676,0.9296913743019104,6.17974328994751,100,120,0,1,1,341,0,0
