i,j,point_id_i,point_id_j,value
154,270,44,88,-0.0020316988229751587
163,238,131,61,-0.002031177282333374
249,287,77,307,-0.0020311176776885986
268,278,78,291,-0.0020310580730438232
138,160,474,220,0.0020307600498199463
283,314,302,147,-0.002030611038208008
147,237,1,185,-0.0020297467708587646
4,218,54,335,-0.002029597759246826
146,240,4,91,-0.0020295679569244385
239,274,146,267,-0.002029523253440857
106,160,161,220,-0.0020286887884140015
137,174,477,274,0.002028346061706543
146,250,4,90,-0.0020281821489334106
172,267,281,191,-0.0020278245210647583
212,249,393,77,-0.0020278245210647583
239,294,146,325,-0.0020278096199035645
138,145,474,5,0.0020277202129364014
232,258,326,96,-0.0020276308059692383
238,278,61,291,-0.0020269453525543213
268,292,78,271,-0.002026796340942383
163,314,131,147,-0.002026766538619995
146,194,4,43,-0.0020267069339752197
106,145,161,5,-0.0020256340503692627
3,144,103,195,-0.0020252466201782227
147,259,1,89,-0.0020246803760528564
239,287,146,307,-0.0020245611667633057
91,154,359,44,0.0020238757133483887
153,270,45,88,-0.002023555338382721
9,279,68,375,-0.002022981643676758
135,279,475,375,0.0020229704678058624
238,292,61,271,-0.0020226240158081055
278,314,291,147,-0.0020225048065185547
4,217,54,273,-0.0020221471786499023
212,239,393,146,-0.002021282911300659
268,286,78,408,-0.0020210444927215576
8,146,104,4,-0.002020925283432007
154,240,44,91,-0.002020828425884247
107,173,246,275,-0.00202023983001709
258,301,96,415,-0.0020201802253723145
151,268,3,78,-0.0020199716091156006
154,250,44,90,-0.002019427716732025
9,283,68,302,-0.0020190179347991943
135,283,475,302,0.0020188838243484497
292,314,271,147,-0.0020183324813842773
147,311,1,111,-0.002018064260482788
154,194,44,43,-0.002017959952354431
268,303,78,324,-0.0020176172256469727
258,274,96,267,-0.0020171552896499634
164,249,115,77,-0.0020169951021671295
238,286,61,408,-0.002016901969909668
146,237,4,185,-0.0020161718130111694
108,174,33,274,-0.0020159780979156494
91,153,359,45,0.0020157992839813232
151,238,3,61,-0.0020157992839813232
136,232,476,326,0.00201570987701416
172,312,281,116,-0.00201570987701416
258,294,96,325,-0.002015441656112671
180,269,440,95,-0.002015337347984314
9,163,68,131,-0.002015143632888794
135,163,475,131,0.0020150840282440186
249,302,77,308,-0.0020149648189544678
76,174,446,274,0.0020148754119873047
