group_id,subject,dataset_name,side_label,side_label_name,label_5class,dataset_label,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00254:x:group025,00254,IMR,0,Left,1,0,-6.62880277633667,6.62880277633667,0.021502580493688583,0.1246858686208725,-0.8265180587768555,0.42229971289634705,-2.7993414402008057,0.45301443338394165,-3.002943277359009
IMR:00255:x:group026,00255,IMR,0,Left,1,0,2.3746891021728516,2.3746891021728516,0.01158825121819973,0.09796372056007385,0.23263338208198547,0.166708305478096,0.39588040113449097,0.735327959060669,1.7461752891540527
IMR:00256:x:group006,00256,IMR,1,Normal,2,0,-16.030920028686523,16.030920028686523,0.06427807360887527,0.02537800557911396,-0.4068327844142914,0.38928061723709106,-6.2405266761779785,0.5853413939476013,-9.383561134338379
IMR:00257:x:group027,00257,IMR,1,Normal,2,0,-19.607202529907227,19.607202529907227,0.0766318067908287,0.01218043640255928,-0.2388242781162262,0.4204215407371521,-8.243289947509766,0.5673980116844177,-11.12508773803711
IMR:00258:x:group028,00258,IMR,1,Normal,2,0,-13.586432456970215,13.586432456970215,0.04690892621874809,0.033462539315223694,-0.4546365439891815,0.4773217737674713,-6.485100269317627,0.48921576142311096,-6.646697044372559
IMR:00259:x:group029,00259,IMR,1,Normal,2,0,-13.586246490478516,13.586246490478516,0.04859621077775955,0.03454931452870369,-0.4693954885005951,0.45472148060798645,-6.177958011627197,0.5107291340827942,-6.938891887664795
IMR:00260:x:group030,00260,IMR,0,Left,1,0,14.119460105895996,14.119460105895996,0.09101122617721558,0.00044076249469071627,0.006223328411579132,0.002043747575953603,0.028856612741947174,0.9975155591964722,14.084381103515625
IMR:00261:x:group031,00261,IMR,0,Left,1,0,25.25827980041504,25.25827980041504,0.1632176637649536,1.01337479918584e-06,2.55961040238617e-05,1.63450458785519e-05,0.0004128477303311229,0.9999825954437256,25.257841110229492
IMR:00262:x:group032,00262,IMR,0,Left,1,0,-6.340206623077393,6.340206623077393,0.01945553533732891,0.12327010184526443,-0.7815579175949097,0.4540790021419525,-2.8789546489715576,0.4226509630680084,-2.679694414138794
IMR:00263:x:group033,00263,IMR,0,Left,0,0,11.730240821838379,11.730240821838379,0.07526100426912308,0.0016094330931082368,0.018879037350416183,0.0054673925042152405,0.06413383036851883,0.9929231405258179,11.64722728729248
IMR:00264:x:group034,00264,IMR,0,Left,1,0,9.956866264343262,9.956866264343262,0.06332958489656448,0.004064780194312334,0.040472473949193954,0.011609423905611038,0.11559347808361053,0.9843258261680603,9.800800323486328
IMR:00265:x:group035,00265,IMR,0,Left,1,0,20.3201904296875,20.3201904296875,0.13129080832004547,1.43436145663145e-05,0.00029146496672183275,0.0001317568530794233,0.0026773244608193636,0.9998538494110107,20.31722068786621
IMR:00266:x:group036,00266,IMR,0,Left,1,0,6.011180877685547,6.011180877685547,0.03563244268298149,0.027583047747612,0.16580669581890106,0.05903147906064987,0.3548488914966583,0.9133854508399963,5.490525245666504
IMR:00267:x:group037,00267,IMR,1,Normal,2,0,-11.290051460266113,11.290051460266113,0.04162063077092171,0.058267902582883835,-0.6578476428985596,0.4118722379207611,-4.650058746337891,0.5298599004745483,-5.982145309448242
IMR:00268:x:group038,00268,IMR,0,Left,1,0,24.351808547973633,24.351808547973633,0.15735898911952972,1.5935734154481906e-06,3.880639633280225e-05,2.2666174118057825e-05,0.0005519623518921435,0.9999756813049316,24.35121726989746
IMR:00269:x:group039,00269,IMR,0,Left,0,0,22.036954879760742,22.036954879760742,0.14239400625228882,5.745293037762167e-06,0.00012660876382142305,6.433462840504944e-05,0.0014177393168210983,0.9999299049377441,22.035409927368164
IMR:00270:x:group040,00270,IMR,0,Left,1,0,17.299686431884766,17.299686431884766,0.11171472817659378,8.99056758498773e-05,0.0015553400153294206,0.0005878004594705999,0.010168763808906078,0.9993222951889038,17.287961959838867
IMR:00271:x:group007,00271,IMR,1,Normal,2,0,-13.61174488067627,13.61174488067627,0.05083309859037399,0.03852853924036026,-0.5244406461715698,0.42344120144844055,-5.763773441314697,0.5380302667617798,-7.323530673980713
IMR:00272:x:group041,00272,IMR,0,Left,1,0,11.077380180358887,11.077380180358887,0.07091644406318665,0.002211272483691573,0.02449510619044304,0.007036254741251469,0.07794326543807983,0.9907524585723877,10.97494125366211
IMR:00273:x:group042,00273,IMR,0,Left,1,0,21.871004104614258,21.871004104614258,0.14132088422775269,6.358708560583182e-06,0.00013907134416513145,6.930421659490094e-05,0.0015157527523115277,0.9999243021011353,21.869348526000977
IMR:00274:x:group043,00274,IMR,0,Left,1,0,18.20174217224121,18.20174217224121,0.1175743117928505,4.763783363159746e-05,0.0008670915849506855,0.000341407663654536,0.006214214488863945,0.999610960483551,18.194660186767578
IMR:00275:x:group044,00275,IMR,1,Normal,2,0,-17.278244018554688,17.278244018554688,0.06544927507638931,0.01861225627362728,-0.32158711552619934,0.43452394008636475,-7.507810592651367,0.5468637943267822,-9.448845863342285
IMR:00276:x:group045,00276,IMR,2,Right,4,0,-0.0031534135341644287,0.0031534135341644287,8.701593287696596e-06,0.32198581099510193,-0.0010153544135391712,0.3097548484802246,-0.000976785086095333,0.36825937032699585,-0.0011612740345299244
IMR:00277:x:group046,00277,IMR,2,Right,3,0,-0.5517394542694092,0.5517394542694092,0.0014982674038037658,0.32041728496551514,-0.1767868548631668,0.31891965866088867,-0.17596055567264557,0.3606630265712738,-0.1989920288324356
IMR:00278:x:group047,00278,IMR,2,Right,3,0,0.633543848991394,0.633543848991394,0.0019044313812628388,0.30490973591804504,0.19317369163036346,0.2840474545955658,0.17995651066303253,0.4110427796840668,0.26041361689567566
IMR:00279:x:group048,00279,IMR,2,Right,3,0,-0.21501514315605164,0.21501514315605164,0.0005866142455488443,0.32159364223480225,-0.0691475048661232,0.31554606556892395,-0.06784718483686447,0.3628602921962738,-0.07802046090364456
IMR:00280:x:group049,00280,IMR,2,Right,3,0,-0.05028243362903595,0.05028243362903595,0.00013570229930337518,0.3582156300544739,-0.018011953681707382,0.2841983139514923,-0.01429018285125494,0.3575860559940338,-0.017980298027396202
IMR:00281:x:group008,00281,IMR,2,Right,3,0,-0.04866481572389603,0.04866481572389603,0.00013147115532774478,0.3555890619754791,-0.01730467565357685,0.2863333821296692,-0.013934360817074776,0.3580775260925293,-0.01742577739059925
IMR:00282:x:group050,00282,IMR,2,Right,3,0,-0.1139838919043541,0.1139838919043541,0.00030748164863325655,0.35320571064949036,-0.04025975987315178,0.28939417004585266,-0.032986272126436234,0.35740014910697937,-0.04073785990476608
IMR:00283:x:group051,00283,IMR,2,Right,3,0,-0.2843617796897888,0.2843617796897888,0.0007699265843257308,0.33910730481147766,-0.09642915427684784,0.30169782042503357,-0.08579132705926895,0.35919490456581116,-0.10214130580425262
IMR:00284:x:group052,00284,IMR,2,Right,4,0,-1.0489622354507446,1.0489622354507446,0.0029055005870759487,0.31383416056632996,-0.3292001783847809,0.3160563111305237,-0.3315311372280121,0.37010955810546875,-0.38823094964027405
IMR:00285:x:group053,00285,IMR,2,Right,3,0,-0.07350075244903564,0.07350075244903564,0.0002025046560447663,0.3309083878993988,-0.024322016164660454,0.30161598324775696,-0.022169001400470734,0.36747559905052185,-0.027009733021259308
IMR:00286:x:group054,00286,IMR,2,Right,3,0,-2.392656087875366,2.392656087875366,0.007032235153019428,0.24928036332130432,-0.5964421629905701,0.3510003089904785,-0.8398230075836182,0.39971932768821716,-0.9563908576965332
IMR:00287:x:group055,00287,IMR,2,Right,3,0,-0.13549470901489258,0.13549470901489258,0.00037051239633001387,0.3532473146915436,-0.04786314070224762,0.28295662999153137,-0.038339126855134964,0.36379605531692505,-0.049292441457509995
IMR:00288:x:group056,00288,IMR,2,Right,4,0,-3.4475886821746826,3.4475886821746826,0.010586755350232124,0.21541070938110352,-0.7426475286483765,0.36190468072891235,-1.247698426246643,0.42268460988998413,-1.457242727279663
IMR:00289:x:group057,00289,IMR,2,Right,4,0,0.2441582977771759,0.2441582977771759,0.0006991740665398538,0.3147842586040497,0.07685718685388565,0.298874169588089,0.0729726105928421,0.3863416016101837,0.09432850778102875
IMR:00290:x:group058,00290,IMR,2,Right,4,0,-0.6306154727935791,0.6306154727935791,0.0017122094286605716,0.33084651827812195,-0.20863693952560425,0.3086067736148834,-0.19461220502853394,0.36054670810699463,-0.22736632823944092
IMR:00291:x:group059,00291,IMR,2,Right,3,0,-0.07415967434644699,0.07415967434644699,0.0002008088631555438,0.34789174795150757,-0.02579953894019127,0.2929152846336365,-0.021722503006458282,0.35919299721717834,-0.026637636125087738
IMR:00292:x:group060,00292,IMR,2,Right,3,0,-0.8099157810211182,0.8099157810211182,0.002202658448368311,0.31298917531967163,-0.25349485874176025,0.3256072998046875,-0.2637144923210144,0.36140352487564087,-0.2927064299583435
IMR:00293:x:group061,00293,IMR,2,Right,3,0,-0.336307555437088,0.336307555437088,0.0009190624114125967,0.34509193897247314,-0.11605702340602875,0.2913687229156494,-0.09798949956893921,0.36353933811187744,-0.12226102501153946
IMR:00294:x:group062,00294,IMR,1,Normal,2,0,-11.899856567382812,11.899856567382812,0.046234287321567535,0.05216888338327408,-0.6208022236824036,0.3836314380168915,-4.565159320831299,0.564199686050415,-6.713895320892334
IMR:00295:x:group009,00295,IMR,2,Right,4,0,-0.7284185886383057,0.7284185886383057,0.002018372295424342,0.30591538548469543,-0.22283445298671722,0.3237626850605011,-0.2358347624540329,0.3703218698501587,-0.26974934339523315
IMR:00296:x:group063,00296,IMR,2,Right,3,0,-0.22413885593414307,0.22413885593414307,0.0006062804604880512,0.34041327238082886,-0.07629983872175217,0.30085304379463196,-0.06743285804986954,0.358733594417572,-0.08040613681077957
IMR:00297:x:group064,00297,IMR,2,Right,3,0,-1.213241457939148,1.213241457939148,0.003329784143716097,0.2954874634742737,-0.35849764943122864,0.3387121856212616,-0.41093966364860535,0.36580026149749756,-0.4438040554523468
IMR:00298:x:group065,00298,IMR,2,Right,3,0,2.2533059120178223,2.2533059120178223,0.009548073634505272,0.17392705380916595,0.3919108510017395,0.20178309082984924,0.45467904210090637,0.6242898106575012,1.4067158699035645
IMR:00299:x:group010,00299,IMR,2,Right,4,0,-2.096104383468628,2.096104383468628,0.006062759552150965,0.26405832171440125,-0.5534937977790833,0.3443797826766968,-0.7218559980392456,0.39156192541122437,-0.8207546472549438
IMR:00300:x:group066,00300,IMR,0,Left,0,0,35.36785888671875,35.36785888671875,0.22854924201965332,4.406290443625949e-09,1.5584106449750834e-07,2.1723515430949192e-07,7.683142030145973e-06,0.9999997615814209,35.36785125732422
IMR:00301:x:group011,00301,IMR,0,Left,0,0,19.787490844726562,19.787490844726562,0.12784108519554138,2.29685174417682e-05,0.0004544893163256347,0.00018401250417809933,0.003641145769506693,0.9997929930686951,19.78339385986328
IMR:00302:x:group067,00302,IMR,0,Left,0,0,23.58687400817871,23.58687400817871,0.1524139940738678,2.666842874532449e-06,6.290248711593449e-05,3.499484955682419e-05,0.0008254190906882286,0.999962329864502,23.58598518371582
IMR:00303:x:group068,00303,IMR,0,Left,0,0,21.696086883544922,21.696086883544922,0.14018946886062622,7.502165317418985e-06,0.00016276762471534312,7.657997775822878e-05,0.0016614858759567142,0.9999159574508667,21.694263458251953
IMR:00304:x:group069,00304,IMR,0,Left,0,0,24.893674850463867,24.893674850463867,0.16086091101169586,1.3961805507278768e-06,3.4756063541863114e-05,2.0335675799287856e-05,0.0005062296986579895,0.9999783039093018,24.89313507080078
IMR:00305:x:group012,00305,IMR,0,Left,0,0,18.433067321777344,18.433067321777344,0.1190711036324501,4.759387957165018e-05,0.0008773012086749077,0.0003204219974577427,0.005906360223889351,0.9996320009231567,18.426284790039062
IMR:00306:x:group070,00306,IMR,0,Left,0,0,16.451108932495117,16.451108932495117,0.10617857426404953,0.00025338632985949516,0.0036278455518186092,0.0011112760985270143,0.016161499544978142,0.9986352920532227,16.431318283081055
IMR:00307:x:group071,00307,IMR,0,Left,1,0,12.717300415039062,12.717300415039062,0.08175867795944214,0.0010483291698619723,0.013331917114555836,0.004029609262943268,0.05124575272202492,0.9949221014976501,12.65272331237793
IMR:00309:x:group072,00309,IMR,0,Left,0,0,29.458234786987305,29.458234786987305,0.19036038219928741,1.0840757624919206e-07,3.1934957860357827e-06,2.71376393357059e-06,7.99426925368607e-05,0.9999971389770508,29.45815086364746
IMR:00310:x:group014,00310,IMR,0,Left,0,0,20.014244079589844,20.014244079589844,0.12930940091609955,1.8616030502016656e-05,0.00037258578231558204,0.00016292327200062573,0.0032607861794531345,0.9998185038566589,20.01061248779297
IMR:00311:x:group073,00311,IMR,0,Left,0,0,30.194597244262695,30.194597244262695,0.19511891901493073,7.254364220443676e-08,2.1904261302552186e-06,1.964399871212663e-06,5.9314261307008564e-05,0.9999979734420776,30.194536209106445
IMR:00312:x:group015,00312,IMR,0,Left,0,0,27.389312744140625,27.389312744140625,0.1769900768995285,3.7070003600092605e-07,1.0153219591302332e-05,7.114549589459784e-06,0.00019486263045109808,0.9999924898147583,27.38910675048828
IMR:00313:x:group074,00313,IMR,0,Left,0,0,29.829992294311523,29.829992294311523,0.1927628219127655,8.395279849082726e-08,2.5043113964784425e-06,2.1877206108911196e-06,6.525968638015911e-05,0.9999977350234985,29.829925537109375
IMR:00314:x:group075,00314,IMR,0,Left,0,0,32.27693557739258,32.27693557739258,0.20857539772987366,2.289631595431274e-08,7.39022937068512e-07,7.953579483910289e-07,2.5671717594377697e-05,0.9999991655349731,32.27690887451172
IMR:00315:x:group076,00315,IMR,0,Left,0,0,29.965456008911133,29.965456008911133,0.1936381757259369,8.22657497678847e-08,2.46513059209974e-06,2.229844540124759e-06,6.681830564048141e-05,0.9999977350234985,29.96538734436035
IMR:00316:x:group077,00316,IMR,0,Left,0,0,15.527593612670898,15.527593612670898,0.10287123173475266,0.12859104573726654,-0.06708529591560364,0.145416259765625,-0.07584591954946518,0.7259926795959473,15.670525550842285
IMR:00317:x:group078,00317,IMR,0,Left,0,0,18.495729446411133,18.495729446411133,0.11947755515575409,4.145592174609192e-05,0.000766757526434958,0.0003127549134660512,0.005784630309790373,0.9996458292007446,18.489179611206055
IMR:00318:x:group079,00318,IMR,0,Left,0,0,18.559221267700195,18.559221267700195,0.11988604813814163,4.4596497900784016e-05,0.000827676267363131,0.0003230725706089288,0.005995975341647863,0.9996323585510254,18.552398681640625
IMR:00319:x:group080,00319,IMR,0,Left,0,0,30.062633514404297,30.062633514404297,0.1942661553621292,7.776830557304493e-08,2.3379200229101116e-06,2.1086693777760956e-06,6.339215178741142e-05,0.9999978542327881,30.06256866455078
IMR:00320:x:group081,00320,IMR,0,Left,0,0,25.17584800720215,25.17584800720215,0.1626848727464676,1.1442638196967891e-06,2.8807811759179458e-05,1.7075915820896626e-05,0.0004299006541259587,0.9999817609786987,25.17538833618164
IMR:00321:x:group016,00321,IMR,0,Left,1,0,30.354202270507812,30.354202270507812,0.19615034759044647,6.626588344715856e-08,2.0114480321353767e-06,1.8755559949568124e-06,5.6931006838567555e-05,0.9999980926513672,30.354145050048828
IMR:00322:x:group082,00322,IMR,0,Left,0,0,6.901721954345703,6.901721954345703,0.04221626743674278,0.1013556644320488,0.17544078826904297,0.11949479579925537,0.2241491675376892,0.7791495323181152,6.502131462097168
IMR:00323:x:group017,00323,IMR,0,Left,0,0,16.420255661010742,16.420255661010742,0.10601529479026794,0.00013110502914059907,0.002152778208255768,0.0007368966471403837,0.012100031599402428,0.999131977558136,16.406002044677734
IMR:00324:x:group083,00324,IMR,2,Right,4,0,1.5103663206100464,1.5103663206100464,0.005602909717708826,0.22744983434677124,0.3435325622558594,0.23947416245937347,0.36169371008872986,0.5330759882926941,0.8051400184631348
IMR:00325:x:group084,00325,IMR,2,Right,4,0,-0.07137590646743774,0.07137590646743774,0.0001921437942655757,0.34439441561698914,-0.024581464007496834,0.29913172125816345,-0.02135079726576805,0.3564738631248474,-0.02544364519417286
IMR:00326:x:group085,00326,IMR,2,Right,4,0,0.015581130981445312,0.015581130981445312,4.291772347642109e-05,0.34947913885116577,0.005445280112326145,0.283250629901886,0.004413365386426449,0.36727017164230347,0.005722484551370144
IMR:00327:x:group018,00327,IMR,2,Right,4,0,-0.045582301914691925,0.045582301914691925,0.0001281705917790532,0.3117709159851074,-0.01421123556792736,0.31083911657333374,-0.014168762601912022,0.3773899972438812,-0.017202304676175117
IMR:00328:x:group086,00328,IMR,2,Right,4,0,-0.19689100980758667,0.19689100980758667,0.0005392793100327253,0.32356399297714233,-0.06370683759450912,0.31172627210617065,-0.06137610226869583,0.3647097051143646,-0.07180806249380112
IMR:00329:x:group087,00329,IMR,2,Right,4,0,-1.0111314058303833,1.0111314058303833,0.002763451775535941,0.3049464225769043,-0.3083409070968628,0.3312894403934479,-0.3349771499633789,0.36376407742500305,-0.3678132891654968
