task_name,fold,num_train_groups,num_test_groups,accuracy,balanced_accuracy,macro_f1
side_from_usage_coeff,1,235,58,0.9482758620689655,0.9441176470588234,0.945998445998446
side_from_usage_coeff,2,235,58,0.9482758620689655,0.9530303030303031,0.9478524743230626
side_from_usage_coeff,3,234,59,0.9152542372881356,0.9070758738277919,0.9098887159084356
side_from_usage_coeff,4,234,59,0.9152542372881356,0.9125,0.9137134583563155
label5_from_usage_coeff,0,234,59,0.7457627118644068,0.5591573631047316,0.5506151742993849
label5_from_usage_coeff,1,235,58,0.7068965517241379,0.6090909090909091,0.5624242424242424
label5_from_usage_coeff,2,235,58,0.8103448275862069,0.7088023088023088,0.6610644257703081
label5_from_usage_coeff,3,234,59,0.7288135593220338,0.6142857142857142,0.5698906485671191
label5_from_usage_coeff,4,234,59,0.7796610169491526,0.7228571428571429,0.6657813765182187
dataset_from_usage,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage_coeff,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage_coeff,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
