label_5class,basis_i,basis_j,basis_i_name,basis_j_name,corr
2,0,2,b0,b4,-0.9448841035072477
2,0,3,b0,b5,-0.9448841035072483
2,0,4,b0,b6,0.9448841035072467
2,0,5,b0,b8,0.07776691346917872
2,0,6,b0,b9,-0.3970262372142805
2,0,7,b0,b10,0.28315426169255137
2,1,0,b1,b0,-0.9999999999999998
2,1,1,b1,b1,1.0
2,1,2,b1,b4,0.9448841035072467
2,1,3,b1,b5,0.9448841035072477
2,1,4,b1,b6,-0.9448841035072464
2,1,5,b1,b8,-0.0777669134691787
2,1,6,b1,b9,0.39702623721428026
2,1,7,b1,b10,-0.283154261692551
2,2,0,b4,b0,-0.9448841035072477
2,2,1,b4,b1,0.9448841035072467
2,2,2,b4,b4,0.9999999999999999
2,2,3,b4,b5,0.9999999999999997
2,2,4,b4,b6,-0.9999999999999987
2,2,5,b4,b8,-0.09198043923745194
2,2,6,b4,b9,0.4770260918976709
2,2,7,b4,b10,-0.34111910358645053
2,3,0,b5,b0,-0.9448841035072483
2,3,1,b5,b1,0.9448841035072476
2,3,2,b5,b4,0.9999999999999997
2,3,3,b5,b5,1.0
2,3,4,b5,b6,-1.0
2,3,5,b5,b8,-0.0919804392374518
2,3,6,b5,b9,0.4770260918976713
2,3,7,b5,b10,-0.34111910358645114
2,4,0,b6,b0,0.9448841035072467
2,4,1,b6,b1,-0.9448841035072465
2,4,2,b6,b4,-0.9999999999999988
2,4,3,b6,b5,-1.0
2,4,4,b6,b6,1.0
2,4,5,b6,b8,0.09198043923745178
2,4,6,b6,b9,-0.4770260918976711
2,4,7,b6,b10,0.3411191035864511
2,5,0,b8,b0,0.07776691346917872
2,5,1,b8,b1,-0.07776691346917869
2,5,2,b8,b4,-0.09198043923745194
2,5,3,b8,b5,-0.09198043923745182
2,5,4,b8,b6,0.09198043923745178
2,5,5,b8,b8,1.0
2,5,6,b8,b9,-0.0848138738287162
2,5,7,b8,b10,-0.5539355508946908
2,6,0,b9,b0,-0.3970262372142805
2,6,1,b9,b1,0.39702623721428026
2,6,2,b9,b4,0.4770260918976709
2,6,3,b9,b5,0.47702609189767137
2,6,4,b9,b6,-0.4770260918976711
2,6,5,b9,b8,-0.08481387382871622
2,6,6,b9,b9,1.0
2,6,7,b9,b10,-0.7825782621247926
2,7,0,b10,b0,0.28315426169255137
2,7,1,b10,b1,-0.283154261692551
2,7,2,b10,b4,-0.34111910358645053
2,7,3,b10,b5,-0.34111910358645114
2,7,4,b10,b6,0.34111910358645103
2,7,5,b10,b8,-0.5539355508946908
2,7,6,b10,b9,-0.7825782621247926
2,7,7,b10,b10,0.9999999999999998
3,0,0,b0,b0,1.0
3,0,1,b0,b1,-1.0
3,0,2,b0,b4,-0.9957731487926736
3,0,3,b0,b5,-0.9957731487926733
3,0,4,b0,b6,0.9957731487926731
3,0,5,b0,b8,-0.8259019355548757
3,0,6,b0,b9,-0.08561567549487147
3,0,7,b0,b10,0.8786903667333809
3,1,0,b1,b0,-1.0
3,1,1,b1,b1,0.9999999999999999
3,1,2,b1,b4,0.9957731487926732
3,1,3,b1,b5,0.9957731487926733
